Unnamed: 0,"Route Id
(GTFS/Remix)","Route Name
(KCM)",Block Id,Departure Time,Arrival Time,"Distance
(mi)",Vehicle Size,"Efficiency
(kWh/mi)","Traction Energy
(kWh)","HVAC/ Aux
(kWh)","Total Energy
(kWh)",Depot,split category
2624,aaaa5475,33,aaaa5475-B8,8:35:00,11:19:00,37.63,40,4.01,107.76,43.02,150.78,Ryerson,no split needed
3814,f7722eef,544,f7722eef-B17,17:55:00,20:36:00,56.41,40,2.67,122.3,28.51,150.81,East,no split needed
51,02aaae22,123,02aaae22-B11,17:19:00,18:37:00,37.63,40,4.01,109.84,41.08,150.92,South,no split needed
1406,5c746323,1037,5c746323-B18,23:59:00,1:40:00,52.2,40,2.89,108.37,42.65,151.02,South,no split needed
3377,da45433b,122,da45433b-B16,19:12:00,20:55:00,46.21,40,3.27,125.3,25.95,151.25,South_Annex,no split needed
3363,da45433b,122,da45433b-B1,7:12:00,8:53:00,46.88,40,3.23,125.45,25.81,151.26,South_Annex,no split needed
59,02aaae22,123,02aaae22-B8,15:49:00,17:07:00,36.99,40,4.09,110.32,41.08,151.39,South,no split needed
1117,3a4acc53,1030,3a4acc53-B29,23:42:00,1:04:00,44.92,40,3.37,128.25,23.26,151.51,Bellevue,no split needed
3735,f3353db6,1053/1043 RR (C Line),f3353db6-B15,6:19:00,7:25:00,28.26,60,5.36,111.6,39.92,151.52,Atlantic-Central,no split needed
1841,77d7832b,1074,77d7832b-B30,18:09:00,19:31:00,27.9,60,5.44,110.45,41.2,151.64,Atlantic-Central,no split needed
3375,da45433b,122,da45433b-B15,18:57:00,20:40:00,47.1,40,3.22,125.71,25.95,151.66,South_Annex,no split needed
3379,da45433b,122,da45433b-B17,19:27:00,21:10:00,46.81,40,3.25,125.97,25.95,151.92,South_Annex,no split needed
1239,45a4dd49,1019,45a4dd49-B30,20:46:00,21:58:00,28.04,60,5.42,124.88,27.05,151.92,North,no split needed
880,30c6e352,1061,30c6e352-B17,6:41:00,10:30:00,25.06,40,6.07,101.74,50.28,152.02,Atlantic-Central,no split needed
3812,f7722eef,544,f7722eef-B16,17:25:00,20:06:00,56.95,40,2.67,123.54,28.51,152.05,East,no split needed
3371,da45433b,122,da45433b-B13,18:42:00,20:25:00,47.52,40,3.2,126.2,25.95,152.15,South_Annex,no split needed
1438,6479ca69,3054,6479ca69-B7,8:41:00,9:36:00,28.2,60,5.4,112.13,40.15,152.28,South,no split needed
1108,3a4acc53,1030,3a4acc53-B20,8:42:00,10:04:00,43.05,40,3.54,129.07,23.26,152.32,Bellevue,no split needed
3205,cfa9dc33,3998,cfa9dc33-B6,6:32:00,9:25:00,33.99,40,4.49,121.71,30.73,152.44,South_Annex,no split needed
2844,b425dba3,2516,b425dba3-B16,7:40:00,9:38:00,36.88,60,4.14,125.63,26.94,152.57,East,no split needed
3056,c8122420,1009,c8122420-B33,15:36:00,17:04:00,45.1,60,3.38,124.28,28.33,152.61,North,no split needed
3385,da45433b,122,da45433b-B2,7:42:00,9:23:00,46.86,40,3.26,126.9,25.81,152.72,South_Annex,no split needed
3058,c8122420,1009,c8122420-B35,15:51:00,17:19:00,45.28,60,3.37,124.42,28.33,152.75,North,no split needed
898,30c6e352,1061,30c6e352-B25,15:37:00,19:38:00,25.05,40,6.1,101.69,51.1,152.79,Atlantic-Central,no split needed
2690,ac8e3e09,124,ac8e3e09-B22,0:52:00,3:16:00,41.41,40,3.69,124.06,28.75,152.81,South_Annex,no split needed
2189,94b1743b,18,94b1743b-B20,14:28:00,15:41:00,27.65,60,5.53,112.44,40.48,152.91,Atlantic-Central,no split needed
3061,c8122420,1009,c8122420-B38,18:46:00,20:25:00,44.97,60,3.4,123.8,29.21,153.01,North,no split needed
1109,3a4acc53,1030,3a4acc53-B21,14:42:00,16:18:00,44.5,40,3.44,128.8,24.21,153.01,Bellevue,no split needed
2353,993c5248,40 - replaced 1993 (40RR) RRIC,993c5248-B48,1:01:00,2:12:00,26.24,60,5.83,112.72,40.32,153.03,Atlantic-Central,no split needed
1104,3a4acc53,1030,3a4acc53-B17,7:02:00,8:24:00,43.02,40,3.56,129.85,23.26,153.1,Bellevue,no split needed
3327,d6854fc9,111,d6854fc9-B17,16:15:00,17:49:00,43.44,40,3.53,129.1,24.08,153.17,Bellevue,no split needed
3403,da45433b,122,da45433b-B4,8:42:00,10:23:00,47.87,40,3.2,127.4,25.81,153.22,South_Annex,no split needed
2171,94b1743b,18,94b1743b-B12,10:28:00,11:41:00,27.66,60,5.54,112.75,40.48,153.23,Atlantic-Central,no split needed
1116,3a4acc53,1030,3a4acc53-B28,21:40:00,23:05:00,42.65,40,3.59,129.87,23.46,153.33,Bellevue,no split needed
1237,45a4dd49,1019,45a4dd49-B29,20:22:00,21:34:00,28.65,60,5.35,126.31,27.05,153.35,North,no split needed
3890,f99b3605,I-405 BRT  - updated,f99b3605-B28,0:11:00,2:10:00,72.81,40,2.11,126.32,27.04,153.36,South_Annex,no split needed
2623,aaaa5475,33,aaaa5475-B7,6:31:00,9:03:00,40.04,40,3.83,111.27,42.2,153.48,Ryerson,no split needed
2370,999090ea,3061,999090ea-B15,8:46:00,10:28:00,49.42,40,3.11,127.69,26.18,153.87,South_Interim,no split needed
1812,77d7832b,1074,77d7832b-B18,7:19:00,10:13:00,34.8,40,4.43,107.5,46.53,154.02,Atlantic-Central,no split needed
3908,fcd2f7b9,907,fcd2f7b9-B10,16:17:00,18:23:00,71.81,40,2.15,144.03,10.02,154.05,South_Annex,no split needed
3326,d6854fc9,111,d6854fc9-B16,15:55:00,17:29:00,43.57,40,3.54,130.09,24.08,154.16,Bellevue,no split needed
1972,7f6d5cf8,3073,7f6d5cf8-B9,17:39:00,19:23:00,43.96,40,3.51,127.92,26.32,154.23,South_Interim,no split needed
2371,999090ea,3061,999090ea-B16,14:46:00,16:36:00,49.68,40,3.11,127.57,26.73,154.3,South_Interim,no split needed
1221,45a4dd49,1019,45a4dd49-B14,5:56:00,7:18:00,27.22,60,5.68,126.8,27.85,154.65,North,no split needed
3335,d6854fc9,111,d6854fc9-B24,18:35:00,20:09:00,43.6,40,3.55,130.79,24.08,154.86,Bellevue,no split needed
1430,6479ca69,3054,6479ca69-B11,14:56:00,15:51:00,28.73,60,5.41,115.39,40.15,155.54,South,no split needed
1388,5acdfa24,128,5acdfa24-B20,0:51:00,2:33:00,37.67,40,4.14,113.15,42.72,155.87,South,no split needed
417,1b214cf8,542,1b214cf8-B22,23:03:00,0:04:00,60.76,40,2.57,134.24,21.67,155.91,East,no split needed
3401,da45433b,122,da45433b-B3,8:12:00,9:53:00,48.87,40,3.19,130.17,25.81,155.99,South_Annex,no split needed
1378,5acdfa24,128,5acdfa24-B11,8:52:00,10:46:00,36.7,40,4.26,112.72,43.54,156.26,South,no split needed
3325,d6854fc9,111,d6854fc9-B15,15:35:00,17:09:00,44.47,40,3.51,132.19,24.08,156.27,Bellevue,no split needed
1105,3a4acc53,1030,3a4acc53-B18,7:42:00,9:04:00,45.65,40,3.42,133.08,23.26,156.34,Bellevue,no split needed
1385,5acdfa24,128,5acdfa24-B18,23:51:00,1:33:00,36.77,40,4.26,113.86,42.72,156.58,South,no split needed
1395,5acdfa24,128,5acdfa24-B8,7:09:00,19:08:00,36.82,40,4.26,113.99,42.79,156.77,South,no split needed
986,32f39340,3055,32f39340-B11,7:49:00,8:57:00,27.51,60,5.7,115.74,41.19,156.93,South,no split needed
1596,6d1e0b38,3068,6d1e0b38-B7,8:33:00,9:49:00,43.53,60,3.61,115.14,41.83,156.96,South,no split needed
1018,32f39340,3055,32f39340-B8,6:34:00,7:42:00,27.98,60,5.64,116.51,41.19,157.69,South,no split needed
1386,5acdfa24,128,5acdfa24-B19,0:21:00,2:03:00,37.69,40,4.19,115.19,42.72,157.91,South,no split needed
3333,d6854fc9,111,d6854fc9-B22,17:55:00,19:29:00,44.62,40,3.54,133.95,24.08,158.03,Bellevue,no split needed
962,30dec229,21,30dec229-B27,23:29:00,1:55:00,32.82,40,4.82,113.45,44.61,158.06,Atlantic-Central,no split needed
1166,3b623130,224,3b623130-B6,8:15:00,9:41:00,38.04,60,4.16,133.73,24.38,158.11,East,no split needed
3115,c99fbd92,2204,c99fbd92-B5,6:14:00,9:02:00,52.82,40,3.0,129.35,28.98,158.34,East,no split needed
1589,6d1e0b38,3068,6d1e0b38-B10,15:03:00,16:18:00,44.03,60,3.61,117.24,41.75,158.99,South,no split needed
1590,6d1e0b38,3068,6d1e0b38-B11,18:33:00,19:48:00,44.03,60,3.61,117.24,41.75,158.99,South,no split needed
3089,c99fbd92,2204,c99fbd92-B17,14:44:00,17:41:00,52.31,40,3.05,129.71,29.6,159.31,East,no split needed
1010,32f39340,3055,32f39340-B33,21:13:00,22:25:00,27.59,60,5.77,117.83,41.51,159.33,South,no split needed
1003,32f39340,3055,32f39340-B27,19:49:00,21:01:00,28.08,60,5.68,117.87,41.51,159.38,South,no split needed
3323,d6854fc9,111,d6854fc9-B13,14:55:00,16:29:00,46.45,40,3.43,135.34,24.08,159.41,Bellevue,no split needed
1234,45a4dd49,1019,45a4dd49-B26,17:17:00,18:28:00,29.24,60,5.46,132.6,26.97,159.57,North,no split needed
1848,77d7832b,1074,77d7832b-B34,23:14:00,2:11:00,42.35,40,3.77,112.87,46.73,159.6,Atlantic-Central,no split needed
1131,3a5becb4,3996,3a5becb4-B12,15:34:00,19:11:00,32.17,40,4.96,110.23,49.46,159.7,Atlantic-Central,no split needed
1716,76527d3b,1041 RR (H Line),76527d3b-B30,22:49:00,1:46:00,39.41,40,4.05,128.7,31.01,159.71,South_Annex,no split needed
3322,d6854fc9,111,d6854fc9-B12,14:35:00,16:09:00,46.39,40,3.45,135.76,24.08,159.83,Bellevue,no split needed
1005,32f39340,3055,32f39340-B29,20:25:00,21:37:00,28.15,60,5.68,118.37,41.51,159.88,South,no split needed
1114,3a4acc53,1030,3a4acc53-B26,20:40:00,22:05:00,47.04,40,3.4,136.53,23.46,159.99,Bellevue,no split needed
171,0af42d69,1202,0af42d69-B30,18:35:00,20:12:00,27.08,60,5.92,117.87,42.4,160.27,Atlantic-Central,no split needed
3332,d6854fc9,111,d6854fc9-B21,17:35:00,19:09:00,47.06,40,3.41,136.3,24.08,160.38,Bellevue,no split needed
964,30dec229,21,30dec229-B28,23:59:00,2:25:00,35.43,40,4.53,115.91,44.61,160.52,Atlantic-Central,no split needed
1012,32f39340,3055,32f39340-B35,21:37:00,22:49:00,27.94,60,5.74,119.03,41.51,160.54,South,no split needed
1389,5acdfa24,128,5acdfa24-B21,1:21:00,3:03:00,36.56,40,4.4,118.02,42.72,160.74,South,no split needed
1380,5acdfa24,128,5acdfa24-B13,14:52:00,16:46:00,37.2,40,4.32,117.34,43.54,160.88,South,no split needed
1248,45a4dd49,1019,45a4dd49-B39,23:53:00,1:04:00,28.87,60,5.58,133.99,26.97,160.96,North,no split needed
1009,32f39340,3055,32f39340-B32,21:01:00,22:13:00,28.1,60,5.73,119.45,41.51,160.96,South,no split needed
1846,77d7832b,1074,77d7832b-B33,22:44:00,1:41:00,42.76,40,3.77,114.46,46.73,161.19,Atlantic-Central,no split needed
1718,76527d3b,1041 RR (H Line),76527d3b-B31,23:09:00,2:06:00,39.95,40,4.04,130.21,31.01,161.21,South_Annex,no split needed
939,30dec229,21,30dec229-B16,6:33:00,7:49:00,28.52,60,5.66,120.77,40.72,161.49,Atlantic-Central,no split needed
3329,d6854fc9,111,d6854fc9-B19,16:55:00,18:29:00,46.08,40,3.51,137.46,24.08,161.53,Bellevue,no split needed
1002,32f39340,3055,32f39340-B26,19:13:00,20:25:00,28.47,60,5.68,120.24,41.51,161.75,South,no split needed
1004,32f39340,3055,32f39340-B28,20:13:00,21:25:00,28.47,60,5.68,120.24,41.51,161.75,South,no split needed
1007,32f39340,3055,32f39340-B30,20:37:00,21:49:00,28.47,60,5.68,120.24,41.51,161.75,South,no split needed
1111,3a4acc53,1030,3a4acc53-B23,15:32:00,16:54:00,46.94,40,3.45,138.6,23.26,161.86,Bellevue,no split needed
1231,45a4dd49,1019,45a4dd49-B23,14:53:00,16:04:00,29.73,60,5.45,134.92,26.97,161.89,North,no split needed
1232,45a4dd49,1019,45a4dd49-B24,15:01:00,16:12:00,29.28,60,5.54,135.15,26.97,162.11,North,no split needed
3324,d6854fc9,111,d6854fc9-B14,15:15:00,16:49:00,45.9,40,3.53,138.07,24.08,162.14,Bellevue,no split needed
3328,d6854fc9,111,d6854fc9-B18,16:35:00,18:09:00,46.15,40,3.52,138.24,24.08,162.32,Bellevue,no split needed
1964,7f6d5cf8,3073,7f6d5cf8-B12,22:11:00,23:54:00,49.99,40,3.25,136.17,26.25,162.42,South_Interim,no split needed
3123,c99fbd92,2204,c99fbd92-B9,7:14:00,10:01:00,52.99,40,3.07,133.53,28.92,162.45,East,no split needed
1019,32f39340,3055,32f39340-B9,6:49:00,7:57:00,28.88,60,5.63,121.28,41.19,162.47,South,no split needed
1629,6e8bdd14,3991,6e8bdd14-B26,23:39:00,1:19:00,33.75,60,4.81,135.28,27.21,162.49,South_Interim,no split needed
481,20fc5c2b,1215,20fc5c2b-B18,22:16:00,0:40:00,34.55,40,4.7,131.41,31.13,162.54,North,no split needed
2885,b425dba3,2516,b425dba3-B35,18:39:00,20:50:00,58.36,40,2.79,136.09,26.46,162.55,East,no split needed
1110,3a4acc53,1030,3a4acc53-B22,14:50:00,16:15:00,46.86,40,3.47,139.27,23.46,162.73,Bellevue,no split needed
3862,f99b3605,I-405 BRT  - updated,f99b3605-B15,8:04:00,10:03:00,73.63,40,2.21,135.71,27.04,162.76,South_Annex,no split needed
3888,f99b3605,I-405 BRT  - updated,f99b3605-B27,23:29:00,1:28:00,73.63,40,2.21,135.71,27.04,162.76,South_Annex,no split needed
3896,f99b3605,I-405 BRT  - updated,f99b3605-B5,5:49:00,7:48:00,73.63,40,2.21,135.71,27.04,162.76,South_Annex,no split needed
2301,993c5248,40 - replaced 1993 (40RR) RRIC,993c5248-B24,7:41:00,9:22:00,26.75,60,6.09,120.09,42.72,162.8,Atlantic-Central,no split needed
2877,b425dba3,2516,b425dba3-B31,15:29:00,17:40:00,58.41,40,2.79,136.35,26.46,162.81,East,no split needed
2297,993c5248,40 - replaced 1993 (40RR) RRIC,993c5248-B22,7:19:00,8:58:00,27.06,60,6.02,120.47,42.56,163.02,Atlantic-Central,no split needed
1000,32f39340,3055,32f39340-B24,18:49:00,19:57:00,29.31,60,5.56,121.87,41.19,163.06,South,no split needed
1694,76527d3b,1041 RR (H Line),76527d3b-B20,6:57:00,9:38:00,40.5,40,4.03,133.15,29.91,163.07,South_Annex,no split needed
1016,32f39340,3055,32f39340-B6,6:04:00,7:12:00,29.03,60,5.62,121.9,41.19,163.09,South,no split needed
994,32f39340,3055,32f39340-B19,14:49:00,16:08:00,28.63,60,5.7,121.07,42.07,163.14,South,no split needed
2287,993c5248,40 - replaced 1993 (40RR) RRIC,993c5248-B18,6:57:00,8:36:00,27.08,60,6.03,120.61,42.56,163.17,Atlantic-Central,no split needed
1383,5acdfa24,128,5acdfa24-B16,23:21:00,1:03:00,37.31,40,4.38,120.67,42.72,163.39,South,no split needed
2305,993c5248,40 - replaced 1993 (40RR) RRIC,993c5248-B26,8:19:00,9:57:00,26.67,60,6.13,121.06,42.48,163.54,Atlantic-Central,no split needed
1014,32f39340,3055,32f39340-B4,5:34:00,19:04:00,29.23,60,5.6,122.49,41.19,163.67,South,no split needed
2316,993c5248,40 - replaced 1993 (40RR) RRIC,993c5248-B31,15:37:00,19:04:00,33.19,40,4.93,114.98,48.78,163.76,Atlantic-Central,no split needed
1465,66c6203f,3992,66c6203f-B13,6:17:00,9:10:00,52.2,40,3.14,134.4,29.47,163.87,Bellevue,no split needed
1467,66c6203f,3992,66c6203f-B15,6:37:00,9:30:00,51.63,40,3.17,134.41,29.47,163.89,Bellevue,no split needed
3407,da45433b,122,da45433b-B6,15:14:00,17:01:00,46.96,40,3.49,137.67,26.22,163.9,South_Annex,no split needed
3334,d6854fc9,111,d6854fc9-B23,18:15:00,19:49:00,47.23,40,3.47,139.87,24.08,163.94,Bellevue,no split needed
1466,66c6203f,3992,66c6203f-B14,6:27:00,9:20:00,52.06,40,3.15,134.47,29.47,163.95,Bellevue,no split needed
3082,c99fbd92,2204,c99fbd92-B13,11:25:00,13:01:00,44.01,60,3.73,138.82,25.18,164.0,East,no split needed
3092,c99fbd92,2204,c99fbd92-B18,15:05:00,16:41:00,44.01,60,3.73,138.82,25.18,164.0,East,no split needed
2276,993c5248,40 - replaced 1993 (40RR) RRIC,993c5248-B13,6:26:00,19:11:00,33.36,40,4.92,116.42,47.62,164.04,Atlantic-Central,no split needed
2326,993c5248,40 - replaced 1993 (40RR) RRIC,993c5248-B36,16:36:00,20:14:00,33.62,40,4.88,114.56,49.53,164.09,Atlantic-Central,no split needed
935,30dec229,21,30dec229-B14,6:13:00,7:29:00,29.57,60,5.55,123.43,40.72,164.14,Atlantic-Central,no split needed
998,32f39340,3055,32f39340-B22,16:49:00,17:57:00,29.66,60,5.54,123.08,41.19,164.27,South,no split needed
1373,5a029754,3168,5a029754-B5,8:33:00,9:51:00,45.18,60,3.64,122.3,41.99,164.29,South,no split needed
1618,6e8bdd14,3991,6e8bdd14-B16,14:39:00,16:16:00,33.61,60,4.89,137.35,26.97,164.32,South_Interim,no split needed
1008,32f39340,3055,32f39340-B31,20:49:00,22:01:00,29.38,60,5.6,122.97,41.51,164.48,South,no split needed
956,30dec229,21,30dec229-B24,18:59:00,21:25:00,36.99,40,4.45,119.87,44.61,164.48,Atlantic-Central,no split needed
177,0af42d69,1202,0af42d69-B33,23:35:00,1:01:00,28.54,60,5.76,123.0,41.52,164.51,Atlantic-Central,no split needed
2565,a7bed128,1515,a7bed128-B12,18:41:00,20:13:00,44.17,60,3.73,138.41,26.27,164.68,South_Annex,no split needed
2318,993c5248,40 - replaced 1993 (40RR) RRIC,993c5248-B32,15:51:00,19:30:00,33.08,40,4.98,115.11,49.6,164.71,Atlantic-Central,no split needed
3373,da45433b,122,da45433b-B14,18:44:00,20:31:00,46.9,40,3.51,138.49,26.22,164.71,South_Annex,no split needed
2298,993c5248,40 - replaced 1993 (40RR) RRIC,993c5248-B23,7:28:00,10:41:00,33.77,40,4.88,116.96,47.82,164.78,Atlantic-Central,no split needed
1011,32f39340,3055,32f39340-B34,21:25:00,22:37:00,29.02,60,5.68,123.44,41.51,164.94,South,no split needed
1468,66c6203f,3992,66c6203f-B16,6:47:00,9:40:00,52.42,40,3.15,135.55,29.47,165.02,Bellevue,no split needed
1962,7f6d5cf8,3073,7f6d5cf8-B10,20:11:00,21:54:00,49.48,40,3.34,138.78,26.25,165.03,South_Interim,no split needed
2303,993c5248,40 - replaced 1993 (40RR) RRIC,993c5248-B25,8:03:00,9:42:00,26.77,60,6.17,122.52,42.56,165.07,Atlantic-Central,no split needed
997,32f39340,3055,32f39340-B21,15:49:00,16:57:00,29.66,60,5.57,123.97,41.19,165.16,South,no split needed
937,30dec229,21,30dec229-B15,6:23:00,7:39:00,29.5,60,5.6,124.48,40.72,165.19,Atlantic-Central,no split needed
321,1346a743,5,1346a743-B32,0:29:00,1:35:00,31.19,60,5.3,125.3,39.92,165.22,Atlantic-Central,no split needed
3369,da45433b,122,da45433b-B12,18:14:00,20:01:00,47.43,40,3.48,139.02,26.22,165.25,South_Annex,no split needed
3988,fed10952,1514,fed10952-B32,23:19:00,1:42:00,53.27,40,3.1,136.65,28.68,165.33,South_Annex,no split needed
2929,ba101589,775,ba101589-B3,5:56:00,9:06:00,26.57,60,6.23,118.43,47.02,165.44,Ryerson,no split needed
1375,5a029754,3168,5a029754-B7,14:34:00,15:46:00,43.38,60,3.82,124.21,41.51,165.71,South,no split needed
2387,9c1653f3,3183,9c1653f3-B13,6:38:00,9:10:00,52.42,40,3.16,137.71,28.04,165.75,Bellevue,no split needed
2388,9c1653f3,3183,9c1653f3-B14,6:48:00,9:20:00,52.42,40,3.16,137.71,28.04,165.75,Bellevue,no split needed
1233,45a4dd49,1019,45a4dd49-B25,15:41:00,16:51:00,29.63,60,5.59,138.88,26.89,165.76,North,no split needed
2293,993c5248,40 - replaced 1993 (40RR) RRIC,993c5248-B20,7:05:00,8:44:00,26.43,60,6.27,123.29,42.56,165.84,Atlantic-Central,no split needed
3358,da284b6a,930,da284b6a-B7,14:47:00,17:11:00,37.33,60,4.44,153.74,12.11,165.85,East,no split needed
999,32f39340,3055,32f39340-B23,17:49:00,18:57:00,29.71,60,5.58,124.73,41.19,165.91,South,no split needed
950,30dec229,21,30dec229-B21,13:11:00,15:56:00,35.76,40,4.64,120.0,45.91,165.91,Atlantic-Central,no split needed
1156,3b623130,224,3b623130-B1,4:45:00,6:12:00,38.68,60,4.29,141.49,24.46,165.95,East,no split needed
